City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
566,Iralaya,HN,80.38,overcast clouds,15.0,-83.2333,Iglesia morava renovada
567,Cotonou,BJ,78.78,few clouds,6.3654,2.4183,Novotel Cotonou Orisha
570,Nago,JP,87.46,overcast clouds,26.5881,127.9761,Hotel Yugaf Inn Okinawa
577,Isla Mujeres,MX,82.17,broken clouds,21.2311,-86.731,Hotel La Joya Isla Mujeres
584,Anajatuba,BR,75.45,broken clouds,-3.2644,-44.6197,Pousada Por do Sol
585,East Wenatchee Bench,US,88.9,clear sky,47.4257,-120.2812,Coast Wenatchee Center Hotel
586,Canutama,BR,78.94,overcast clouds,-6.5339,-64.3831,Hotel Jhennifer
588,Irasan,PH,86.49,broken clouds,8.526,123.206,Reducto Residencias Filipinas
591,Honiara,SB,87.21,clear sky,-9.4333,159.95,Heritage Park Hotel
592,Hobyo,SO,76.05,broken clouds,5.3505,48.5268,Iftin hotel hobyo
594,Komsomolskiy,UZ,81.32,few clouds,40.4272,71.7189,Ikathouse
598,Ormara,PK,82.65,overcast clouds,25.2088,64.6357,Kenara Colony House for Rent
600,Sola,VU,80.35,few clouds,-13.8833,167.55,Leumerus Bungalows
604,Greenwood,US,76.28,overcast clouds,34.1668,-82.1165,Quality Inn Greenwood Hwy 25
607,Paracuru,BR,77.11,few clouds,-3.41,-39.0306,Hotel Vento Brasil
611,Sicamous,CA,80.19,clear sky,50.8331,-118.9856,Best Western Sicamous Inn
613,Zhaoqing,CN,88.83,few clouds,23.0512,112.4597,七星岩旅游度假区
617,Ariyalur,IN,82.42,overcast clouds,11.1333,79.0833,BERGAMONT HOTEL
619,Gainesville,US,77.11,overcast clouds,29.6516,-82.3248,Stayable Select
620,Amahai,ID,76.12,overcast clouds,-3.3333,128.9167,HOTEL ISABELA
621,Naze,JP,83.48,broken clouds,28.3667,129.4833,Shishime Hotel
625,Hattiesburg,US,79.65,scattered clouds,31.3271,-89.2903,Quality Inn & Suites
629,Sakhon Nakhon,TH,82.49,broken clouds,17.1612,104.1472,บริษัท สกลแกรนด์พาเลซ จำกัด
633,Bima,ID,86.2,broken clouds,-8.4667,118.7167,Lambitu Hotel
638,Cabedelo,BR,75.42,few clouds,-6.9811,-34.8339,Pousada Camboinha
640,Riyadh,SA,87.31,overcast clouds,24.6877,46.7219,"InterContinental Riyadh, an IHG Hotel"
647,Kupang,ID,81.28,broken clouds,-10.1667,123.5833,Hotel On The Rock by Prasanthi
653,Lang Suan,TH,77.45,overcast clouds,9.9456,99.0785,Langsuan Resort
658,Ratnagiri,IN,77.77,light rain,16.9833,73.3,Hotel Landmark
659,Salalah,OM,76.24,light rain,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
662,Kokopo,PG,86.47,broken clouds,-4.352,152.2633,Kokopo Beach Bungalow Resort
